province,age,sex,estimation
Alberta,18 to 19 years,Female,0.171206301
Alberta,18 to 19 years,Male,0.284330429
Alberta,20 to 24 years,Female,0.204658729
Alberta,20 to 24 years,Male,0.329321382
Alberta,25 to 29 years,Female,0.214580372
Alberta,25 to 29 years,Male,0.34422314
Alberta,30 to 34 years,Female,0.163339696
Alberta,30 to 34 years,Male,0.275793177
Alberta,35 to 39 years,Female,0.136756348
Alberta,35 to 39 years,Male,0.236834075
Alberta,40 to 44 years,Female,0.11461241
Alberta,40 to 44 years,Male,0.202562099
Alberta,45 to 49 years,Female,0.111200129
Alberta,45 to 49 years,Male,0.19734193
Alberta,50 to 54 years,Female,0.09053419
Alberta,50 to 54 years,Male,0.163075121
Alberta,55 to 59 years,Female,0.077805399
Alberta,55 to 59 years,Male,0.139906796
Alberta,60 to 64 years,Female,0.062792067
Alberta,60 to 64 years,Male,0.112884784
Alberta,65 to 69 years,Female,0.052231168
Alberta,65 to 69 years,Male,0.0921222
Alberta,70 to 74 years,Female,0.044138538
Alberta,70 to 74 years,Male,0.079168517
Alberta,75 to 79 years,Female,0.041633815
Alberta,75 to 79 years,Male,0.072770568
Alberta,80 years and over,Female,0.037587288
Alberta,80 years and over,Male,0.06662301
British Columbia,18 to 19 years,Female,0.21009294
British Columbia,18 to 19 years,Male,0.337538464
British Columbia,20 to 24 years,Female,0.247083495
British Columbia,20 to 24 years,Male,0.387525119
British Columbia,25 to 29 years,Female,0.259568819
British Columbia,25 to 29 years,Male,0.402836413
British Columbia,30 to 34 years,Female,0.197874209
British Columbia,30 to 34 years,Male,0.323418451
British Columbia,35 to 39 years,Female,0.167326217
British Columbia,35 to 39 years,Male,0.279820628
British Columbia,40 to 44 years,Female,0.140979455
British Columbia,40 to 44 years,Male,0.239415987
British Columbia,45 to 49 years,Female,0.137712305
British Columbia,45 to 49 years,Male,0.236165991
British Columbia,50 to 54 years,Female,0.112782653
British Columbia,50 to 54 years,Male,0.198333645
British Columbia,55 to 59 years,Female,0.096820646
British Columbia,55 to 59 years,Male,0.170450306
British Columbia,60 to 64 years,Female,0.078058823
British Columbia,60 to 64 years,Male,0.139931398
British Columbia,65 to 69 years,Female,0.063694051
British Columbia,65 to 69 years,Male,0.11385401
British Columbia,70 to 74 years,Female,0.053983764
British Columbia,70 to 74 years,Male,0.09536537
British Columbia,75 to 79 years,Female,0.048955755
British Columbia,75 to 79 years,Male,0.086533302
British Columbia,80 years and over,Female,0.04490211
British Columbia,80 years and over,Male,0.080108745
Manitoba,18 to 19 years,Female,0.195167403
Manitoba,18 to 19 years,Male,0.318666198
Manitoba,20 to 24 years,Female,0.233598945
Manitoba,20 to 24 years,Male,0.369067814
Manitoba,25 to 29 years,Female,0.255261468
Manitoba,25 to 29 years,Male,0.39408544
Manitoba,30 to 34 years,Female,0.193388907
Manitoba,30 to 34 years,Male,0.316361062
Manitoba,35 to 39 years,Female,0.159247776
Manitoba,35 to 39 years,Male,0.274000244
Manitoba,40 to 44 years,Female,0.133846264
Manitoba,40 to 44 years,Male,0.232666489
Manitoba,45 to 49 years,Female,0.129873522
Manitoba,45 to 49 years,Male,0.222784104
Manitoba,50 to 54 years,Female,0.104144044
Manitoba,50 to 54 years,Male,0.189042931
Manitoba,55 to 59 years,Female,0.090381462
Manitoba,55 to 59 years,Male,0.162544775
Manitoba,60 to 64 years,Female,0.074218601
Manitoba,60 to 64 years,Male,0.130015224
Manitoba,65 to 69 years,Female,0.060656129
Manitoba,65 to 69 years,Male,0.106379802
Manitoba,70 to 74 years,Female,0.05183393
Manitoba,70 to 74 years,Male,0.093507978
Manitoba,75 to 79 years,Female,0.049752753
Manitoba,75 to 79 years,Male,0.085043759
Manitoba,80 years and over,Female,0.04426617
Manitoba,80 years and over,Male,0.076930904
New Brunswick,18 to 19 years,Female,0.096454526
New Brunswick,18 to 19 years,Male,0.169829095
New Brunswick,20 to 24 years,Female,0.122841919
New Brunswick,20 to 24 years,Male,0.207425566
New Brunswick,25 to 29 years,Female,0.130108047
New Brunswick,25 to 29 years,Male,0.224205484
New Brunswick,30 to 34 years,Female,0.094540561
New Brunswick,30 to 34 years,Male,0.166208394
New Brunswick,35 to 39 years,Female,0.07736541
New Brunswick,35 to 39 years,Male,0.140222159
New Brunswick,40 to 44 years,Female,0.062473372
New Brunswick,40 to 44 years,Male,0.117643934
New Brunswick,45 to 49 years,Female,0.062686445
New Brunswick,45 to 49 years,Male,0.113628982
New Brunswick,50 to 54 years,Female,0.050299447
New Brunswick,50 to 54 years,Male,0.092985204
New Brunswick,55 to 59 years,Female,0.044059599
New Brunswick,55 to 59 years,Male,0.079835648
New Brunswick,60 to 64 years,Female,0.035035044
New Brunswick,60 to 64 years,Male,0.06454667
New Brunswick,65 to 69 years,Female,0.028886459
New Brunswick,65 to 69 years,Male,0.052168862
New Brunswick,70 to 74 years,Female,0.025022187
New Brunswick,70 to 74 years,Male,0.045951147
New Brunswick,75 to 79 years,Female,0.022735754
New Brunswick,75 to 79 years,Male,0.04163114
New Brunswick,80 years and over,Female,0.019925148
New Brunswick,80 years and over,Male,0.036539429
Newfoundland and Labrador,18 to 19 years,Female,0.198788991
Newfoundland and Labrador,18 to 19 years,Male,0.32687907
Newfoundland and Labrador,20 to 24 years,Female,0.247658374
Newfoundland and Labrador,20 to 24 years,Male,0.375856575
Newfoundland and Labrador,25 to 29 years,Female,0.254059596
Newfoundland and Labrador,25 to 29 years,Male,0.4010692
Newfoundland and Labrador,30 to 34 years,Female,0.198298089
Newfoundland and Labrador,30 to 34 years,Male,0.317100529
